GND	WIKI PAGE DE	HITS (btw 2014/05/28 and 2014/06/26)	AVG HITS (per day)	CHAR_COUNT (on 2014/06/28)	WORD_COUNT (on 2014/06/28)
http://d-nb.info/gnd/131888560	http://de.wikipedia.org/wiki/Lotte_Herrlich	95	3.17	2531	287
http://d-nb.info/gnd/118509586	http://de.wikipedia.org/wiki/Lawrenti_Beria	4778	159.27	25595	3173
http://d-nb.info/gnd/102595348		0	0	0	0
http://d-nb.info/gnd/103883878		0	0	0	0
http://d-nb.info/gnd/116014296		0	0	0	0
http://d-nb.info/gnd/121954005	http://de.wikipedia.org/wiki/Pawel_Jefimowitsch_Dybenko	144	4.8	4781	552
http://d-nb.info/gnd/128855029	http://de.wikipedia.org/wiki/Dmitri_Sacharowitsch_Manuilski	83	2.77	2995	369
http://d-nb.info/gnd/126623821		0	0	0	0
http://d-nb.info/gnd/126985081		0	0	0	0
http://d-nb.info/gnd/110976363		0	0	0	0
http://d-nb.info/gnd/11744328X	http://de.wikipedia.org/wiki/Victoria_Wolff	125	4.17	5947	701
http://d-nb.info/gnd/123261155	http://de.wikipedia.org/wiki/Pawel_Petrowitsch_Postyschew	157	5.23	10275	1242
http://d-nb.info/gnd/13100803X		0	0	0	0
http://d-nb.info/gnd/12690992X		0	0	0	0
http://d-nb.info/gnd/12675098X		0	0	0	0
http://d-nb.info/gnd/126950008		0	0	0	0
http://d-nb.info/gnd/116055774	http://de.wikipedia.org/wiki/Marta_Karlweis	98	3.27	3031	351
http://d-nb.info/gnd/101951639		0	0	0	0
http://d-nb.info/gnd/126550581		0	0	0	0
http://d-nb.info/gnd/118521160	http://de.wikipedia.org/wiki/John_Cleland	210	7	3631	434
http://d-nb.info/gnd/103945040		0	0	0	0
Aguirre, Don Jose Maria		0	0	0	0
http://d-nb.info/gnd/127368833		0	0	0	0
http://d-nb.info/gnd/124183743		0	0	0	0
http://d-nb.info/gnd/126111847		0	0	0	0
http://d-nb.info/gnd/102494258		0	0	0	0
http://d-nb.info/gnd/126178801		0	0	0	0
http://d-nb.info/gnd/101631391		0	0	0	0
http://d-nb.info/gnd/102275548		0	0	0	0
http://d-nb.info/gnd/101193815		0	0	0	0
http://d-nb.info/gnd/126198624		0	0	0	0
http://d-nb.info/gnd/126275874		0	0	0	0
http://d-nb.info/gnd/118588362		0	0	0	0
http://d-nb.info/gnd/13354415X	http://de.wikipedia.org/wiki/August_Kruckow	55	1.83	5013	593
http://d-nb.info/gnd/101899661	http://de.wikipedia.org/wiki/Johannes_Steel	31	1.03	4572	509
http://d-nb.info/gnd/118500686	http://de.wikipedia.org/wiki/Alfred_Adler	3104	103.47	27577	3203
http://d-nb.info/gnd/126802491	http://de.wikipedia.org/wiki/Alexander_Otto_Weber	47	1.57	4689	512
http://d-nb.info/gnd/126561524		0	0	0	0
