Weinberg, G. D.	http://d-nb.info/gnd/126924686, http://d-nb.info/gnd/156065029
Friedmann, S.	http://d-nb.info/gnd/102159076, http://d-nb.info/gnd/142913596
Schmid-Ammann, Paul	http://d-nb.info/gnd/118608649
Mueller, Johannes	http://d-nb.info/gnd/104288485, http://d-nb.info/gnd/117596582, http://d-nb.info/gnd/117596620, http://d-nb.info/gnd/117596701, http://d-nb.info/gnd/118641913, http://d-nb.info/gnd/130004073, http://d-nb.info/gnd/137757433, http://d-nb.info/gnd/143389025, http://d-nb.info/gnd/171395360, http://d-nb.info/gnd/1023167565, http://d-nb.info/gnd/1046718096
Rosenthal, Alfred	http://d-nb.info/gnd/101801807, http://d-nb.info/gnd/141933879, http://d-nb.info/gnd/17344203X, http://d-nb.info/gnd/102852496X
Rodenberg, Hans	http://d-nb.info/gnd/118601695, http://d-nb.info/gnd/14386131X
Newski, W. J.	http://d-nb.info/gnd/126619212
Hohlfeld, Johannes	http://d-nb.info/gnd/100834337, http://d-nb.info/gnd/11695776X
Duncker, Hermann	http://d-nb.info/gnd/116251700, http://d-nb.info/gnd/118528130, http://d-nb.info/gnd/121013502, http://d-nb.info/gnd/159162017
Zarek, Otto	http://d-nb.info/gnd/116966378, http://d-nb.info/gnd/178104752
Grinko, G. F.	
Budzislawski, Hermann	http://d-nb.info/gnd/117044369, http://d-nb.info/gnd/174942575
Wertner, Heinz	http://d-nb.info/gnd/127312110
Stephan, Gunar Conrad	http://d-nb.info/gnd/127374787
Hublet, Albert	http://d-nb.info/gnd/126541094
Guggenheim, Werner Johannes	http://d-nb.info/gnd/116920289, http://d-nb.info/gnd/181253925
Masereel, Franz	http://d-nb.info/gnd/118578669
Zapolska, Gabryela	http://d-nb.info/gnd/11880829X, http://d-nb.info/gnd/178079189, http://d-nb.info/gnd/183632273
Iljin-Schenjewski, A.	
Reinhard, Ernst	http://d-nb.info/gnd/101806523, http://d-nb.info/gnd/116419555, http://d-nb.info/gnd/118692720, http://d-nb.info/gnd/122837959
Ilsen, Martin	http://d-nb.info/gnd/101968736
Straub, Oswald	http://d-nb.info/gnd/126986274
Ferrer-Guardia, Francisco	http://d-nb.info/gnd/118532618
Schuetz, Henri	
Hirsch, Leo	http://d-nb.info/gnd/101360924, http://d-nb.info/gnd/117525286, http://d-nb.info/gnd/129557889, http://d-nb.info/gnd/1045512117
Lieblich, Karl	http://d-nb.info/gnd/116997222, http://d-nb.info/gnd/176516425
Urbantschitsch, Rudolf	http://d-nb.info/gnd/101304390, http://d-nb.info/gnd/1012967395
Ernst, Erich	http://d-nb.info/gnd/10548430X
Finsterbusch, Hans Walter	
Mowrer, Lilian T.	http://d-nb.info/gnd/134240251, http://d-nb.info/gnd/154458880
Odermatt, Franz	http://d-nb.info/gnd/106864319, http://d-nb.info/gnd/117095648
Platz, Wilhelm	http://d-nb.info/gnd/101693761, http://d-nb.info/gnd/116208678, http://d-nb.info/gnd/139215794, http://d-nb.info/gnd/1029625883
Sturm, Walter	http://d-nb.info/gnd/106101188, http://d-nb.info/gnd/117366560, http://d-nb.info/gnd/118770950, http://d-nb.info/gnd/129704679, http://d-nb.info/gnd/138401039, http://d-nb.info/gnd/138402035, http://d-nb.info/gnd/138402094
Delmont, Joseph	http://d-nb.info/gnd/116064579, http://d-nb.info/gnd/186719833
Grasshoff, Heinrich	http://d-nb.info/gnd/126438722
Genin, Robert	http://d-nb.info/gnd/126393265, http://d-nb.info/gnd/141500123
Karlweis, Marta	http://d-nb.info/gnd/105965057, http://d-nb.info/gnd/116055774, http://d-nb.info/gnd/182342476
Goebels, Hubert	http://d-nb.info/gnd/101895704
Steinberger, N.	http://d-nb.info/gnd/119482649, http://d-nb.info/gnd/119838346, http://d-nb.info/gnd/119838346, http://d-nb.info/gnd/182807096
Surava, Peter	http://d-nb.info/gnd/119073714
Löwenstein, Hubertus zu 	
, Louise Sophie, Prinzessin v. Preussen	
Nikitina, Ekatarina D.	
