row,titleChunks,authorChunks,titleGND,title,completeWorks,ssFlag,authorFirstname,authorLastname,authorPseudonym,authorFullname,firstEditionPublisher,firstEditionPublicationYear,firstEditionPublicationPlace,secondEditionPublisher,secondEditionPublicationYear,secondEditionPublicationPlace,authorGND,authorGND2,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56
43,Done,Done,http://d-nb.info/57512573X ,Die kommunistische Partei Chinas im Kampfe um die Befreiung des chines. Volkes,,true,P.,Mif,,P. Mif,Verlagsgen. ausländ. Arbeiter,1937,Moskau,Verlagsgen. ausländ. Arbeiter,1937,Moskau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Done,1,,Sämtliche Schriften,1,false,Josef,Schneider,,Josef Schneider,,,,,,,http://d-nb.info/gnd/12500155X ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Done,Done,http://d-nb.info/573266891,Die Sozialisierung der Wirtschaft durch die Genossenschaften,,false,Sigmund,Kaff,,Sigmund Kaff,Neue Erde,1920,Wien,Neue Erde,1920,Wien,http://d-nb.info/gnd/126678456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Done,1,,Sämtliche Schriften,1,true,Cassie,Michaelis,,Cassie Michaelis,,,,,,,http://d-nb.info/gnd/101920423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Done,Done,http://d-nb.info/363132813,Wassily Kandinsky,,false,Hugo,Zehder,,Hugo Zehder,Kaemmerer,1920,Dresden,Kaemmerer,1920,Dresden,http://d-nb.info/gnd/107769301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,Done,http://d-nb.info/560924623,"Sinne, Die fünf ~. Ihr Einfluss auf die Sexualität des Menschen. Bd 1—5",,false,,,,,Verlag f. Kulturforschung,1930/32,Wien,Verlag f. Kulturforschung,1930/32,Wien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Done,Done,http://d-nb.info/577471031,W. J. Lenin,,true,A.,Stezki,,A. Stezki,Verlagsgen. ausländ. Arbeiter,1934,Moskau,Verlagsgen. ausländ. Arbeiter,1934,Moskau,http://d-nb.info/gnd/1015389678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Done,1,,Sämtliche Schriften,1,true,Friedrich,Birk,,Friedrich Birk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Done,Done,http://d-nb.info/574664602,Dollfuss,,false,Johannes,Messner,,Johannes Messner,Tyrolia,1934,Innsbruck,Tyrolia,1934,Innsbruck,http://d-nb.info/gnd/118581384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Done,Done,http://d-nb.info/576568899,Fliegerschicksale,,false,Bruno,Strauss,,Bruno Strauss,Beckmann,1938,Rostock,Beckmann,1938,Rostock,http://d-nb.info/gnd/1034350072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Done,1,,Sämtliche Schriften,1,true,Claus,Eichen,,Claus Eichen,,,,,,,http://d-nb.info/gnd/116311088 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1,Done,,"Verbandverlag weiblicher Vereine G.m.b.H., Düsseldorf. Gesamtproduktion.",,true,,,,,Verbandverlag weiblicher Vereine G.m.b.H.,,Düsseldorf,Verbandverlag weiblicher Vereine G.m.b.H.,,Düsseldorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1,Done,http://www.worldcat.org/oclc/257960174,Die Volkswirtschaft der UdSSR,,false,W.,Groman,,W. Groman,Rowohlt,1927,Berlin,Rowohlt,1927,Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Done,Done,http://d-nb.info/363041214,Das Evangelium eines armen Sünders,,false,Wilhelm,Weitling,,Wilhelm Weitling,Ernst,1894,München,Ernst,1894,München,http://d-nb.info/gnd/118630652,,http://d-nb.info/gnd/118693956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Done,Done,http://d-nb.info/574602313,Liebe ohne Folgen,,true,Rudolf,Grossmann,,Rudolf Grossmann,Internat. Bund f. Kontingentierung d. Bevölkerung,1919,Stockholm,Internat. Bund f. Kontingentierung d. Bevölkerung,1919,Stockholm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Done,Done,http://d-nb.info/992416140,Das Fest des Lebens,,true,Louis,Fuernberg,,Louis Fuernberg,Oprecht,1939,"Zürich, New York",Oprecht,1939,"Zürich, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Done,Done,http://d-nb.info/575951028,Unter Ausschluss der Öffentlichkeit,,false,Gustav von,Scanzoni,,Gustav von Scanzoni,Musarion-Verlag,1933,München,Musarion-Verlag,1933,München,http://d-nb.info/gnd/102103690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Done,Done,http://d-nb.info/576019682,Proletarisches Spielbuch,,false,Helmut,Schinkel,,Helmut Schinkel,Verlag d. Jugendinternationale,1931,Berlin,Verlag d. Jugendinternationale,1931,Berlin,http://d-nb.info/gnd/119442221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Done,Done,http://d-nb.info/973906979,Soziale Frage und Bodenverstaatlichung,,false,Konrad,Schmidt,,Konrad Schmidt,Volkstribüne,1890,Berlin,Volkstribüne,1890,Berlin,http://d-nb.info/gnd/117535214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Done,Done,http://d-nb.info/578533669,Das Phantom im Nebel,,false,Michael,Zwick,,Michael Zwick,Eden-Verlag,1933,Berlin,Eden-Verlag,1933,Berlin,http://d-nb.info/gnd/101223595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Done,Done,http://d-nb.info/576153451,Dokumente zu Friedmanns Kampf gegen die Tuberkulose,,false,Alexander von,Seldt,,Alexander von Seldt,Selbstverlag,1935,Hamburg,Selbstverlag,1935,Hamburg,http://d-nb.info/gnd/126812349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,Done,http://www.worldcat.org/oclc/84792899,Ihr Lebens-Jahresführer!,,false,,,,,Lerwin-Verlag,1938,Trier,Lerwin-Verlag,1938,Trier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Done,Done,http://d-nb.info/57657421X ,"Streik, Der ~ der Berliner Verkehrsarbeiter",,false,,,,,Westdt. Buchdruckwerkstätten,1932,Düsseldorf,Westdt. Buchdruckwerkstätten,1932,Düsseldorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
