row	authorFirstname	authorLastname	 X	GND	preferredName	yearOfBirth	yearOfDeath	placeOfBirth	placeOfDeath	professionOrOccupation	foaf_page	
186	Martin	Fuchs	 	http://d-nb.info/gnd/136511910	Fuchs, Martin	 	 	 	 	Soziologe | Anthropologe	 	DifferentiatedPerson
186	Martin	Fuchs	 	http://d-nb.info/gnd/138812020	Fuchs, Gerhard	1919	 	Crimmitschau	 	 	 	DifferentiatedPerson
186	Martin	Fuchs	 	http://d-nb.info/gnd/13903711X	Fuchs, Martin	 	 	 	 	 	 	DifferentiatedPerson
186	Martin	Fuchs	 	http://d-nb.info/gnd/1037330110	Fuchs, Martin Erich	1881	 	 	 	Jurist	 	DifferentiatedPerson
186	Martin	Fuchs	 	http://d-nb.info/gnd/1037514718	Fuchs, Martin	 	 	 	 	 	 	DifferentiatedPerson
192	Peter	Freuchen	 	http://d-nb.info/gnd/118693166	Freuchen, Peter	1886	1957	 	 	Schriftsteller | Ethnologe	http://de.wikipedia.org/wiki/Peter_Freuchen	DifferentiatedPerson
199	Maurits	Dekker	 									
203	George	Grosz	 	http://d-nb.info/gnd/118542672	Grosz, George	1893	1959	Berlin	Berlin	Maler | Graphiker	http://de.wikipedia.org/wiki/George_Grosz	DifferentiatedPerson
208	Richard	Calwer	 	http://d-nb.info/gnd/121647722	Calwer, Richard	1868	1927	Esslingen am Neckar	Berlin	Journalist	http://de.wikipedia.org/wiki/Richard_Calwer	DifferentiatedPerson
228	Carlo	Sforza	 	http://d-nb.info/gnd/119338041	Sforza, Carlo	1872	1952	 	 	Politiker | Journalist | Literaturwissenschaftler	http://de.wikipedia.org/wiki/Carlo_Sforza	DifferentiatedPerson
234	Anatolij	Lunatscharskij	 	http://d-nb.info/gnd/118818694	Lunačarskij, Anatolij V.	1875	1933	 	 	Politiker	http://de.wikipedia.org/wiki/Anatoli_Wassiljewitsch_Lunatscharski	DifferentiatedPerson
