forename	surname	authorFirstname	authorLastname
Elisabeth	Rotten		
Louis	Roubaud		
Denis de	Rougemont		
Richard W.	Rowan		
Manabendra Nath	Roy		
Martha	Ruben-Wolf		
Frida	Rubiner		
Ludwig	Rubiner		
Alexander	Rubinstein		
Leo	Rubinstein		
Modest	Rubinstein		
Sigmund	Rubinstein		
L.	Rudas		
Paul	Rudel		
A.	Rudolf		
N.	Rudolf		
Albert	Rudolph		
Hermann	Rudolph		
Richard	Ruedolf		
Hugo	Ruehl		
Otto	Ruehle		
Alice	Ruehle-Gerstel		
Franz	Ruesche		
Anselm	Ruest		
Hans	Ruin		
P.	Rumjanzew		Rumjanzew, P., u. S. Friedmann
S.	Friedmann		Rumjanzew, P., u. S. Friedmann
Johann	Rump		
Arthur	Rundt		
Dagobert	Runes		
Xaver	Rupfer		
Rupert	Rupp		
J.	Rutgers		
John Frédérick	Rutherford		
Hans	Rutz		
Lucjan	Rydel		
G.	Ryklin		
P. M.	Ryssakow		
Maria	Berchtenbreiter	Margarete Sinclair	s. Berchtenbreiter, Maria [Verf.]
William	Burkhard		s. Burkhard, William [Verf.]
Friedrich	Kaehr		s. Kaehr, Friedrich [Verf.]
Leopold	Klehr	Leopold	s. Klehr [Verf.]
Florentin	Lueck	Florentin	s. Luecke [Verf.]
E. L.	Michel		s. Michel, E. L.
Nikolaus	Mueller		s. Mueller, Nikolaus [Verf.]
Fritz	Schwar	Fritz	s. Schwarz [Verf.]
Karl	Schwarzmann		s. Schwarzmann, Karl [Verf.]
Adolf	Saager		
Leopold von	Sacher-Masoch		
Ernst	Sachse		
Willy Richard	Sachse		
Franz	Saettler		
Hanns	Sagsmann		
Hans	Sahl		
Robert	Saitschick		
Wladimir	Saizew		
Andrej V. 	Zaks	Andreas [Andreij]	Saks [Zaks]
Andrej V. 	Zaks		Saks, Andreas [dt. Namensform] s. Zaks, Andrej.
Joseph	Saladin		
Roger	Salardenne		
Emilio	Salgari		
Karl	Salier		
Berthold Jacob	Salomon		
Gottfried	Salomon		
Felix	Salten		
	Salvadri <Pater>		Salvadri
Guiseppe	Salvioli		
Martin Christian	Sander		
Alfred	Sang		
Margaret	Sanger		
Adolf	Sannwald		
Johanna	Sanzara		
Rahel	Sanzara		
Philipp	Sarasin		
D.	Saslawski		
Otto	Sassnick		
Louis	Satow		
Willi	Sauer		
Kurt	Sauerland		
Max	Sauerlandt		
Victorien de	Saussay		
	Savvatij		Sawaty
Boris	Sawinkow		
Gustav von	Scanzoni		
Karl Willy	Schaarschmidt		
Will	Schaber		
Gerhard	Schacher		
Edmund	Schaechter		
Albert	Schaefer		
Wilhelm	Schaefer		
J.	Dyck		Schaefer, M. s. Dyck, J.
Julius	Schaeffer		
Albert	Schaeffle		
Michael	Schaeffler		
Fritz	Schaelicke		
Franz Solan	Schaeppi		
Friedrich	Schaffrath		
Marietta	Schaginian		
Martha	Kaegi-Schalch		Schalch, Martha Kaegi- s. Kaegi-Schalch
Eduard	Schall		
Elisabeth	Schalldach		
Willy	Schapitz		
Richard	Schapke		
Aleksandr S.	Schapowalow		
Alois	Schardt		
Hermann	Scharfenberg		
Hubertus zu 	Löwenstein		Scharfeneck, Hubertus Maria Friedrich Graf v. Löwenstein- s. Löwenstein-Scharfeneck
Adam	Scharrer		
S.	Schaumjan		
Julius	Schaxel		
Rudolf	Schay		
Franz	Scheda		
Maximilian	Scheer		
Paul	Scheerbart		
Gerhard	Scheicher		
Philipp	Scheidemann		
A.	Schein		
M. M.	Scheinmann	M. M.	Scheinmann [Red.]
Ernst	Scheitel		
Martin	Schelling		
Joh.	Schenk		
Walter	Schenk		
Rafael	Schermann		
Felix	Scherret		
Andreas	Scheu		
Oskar	Scheuer		Scheuer, Oskar, u. Otto Soyka
Otto	Soyka		Scheuer, Oskar, u. Otto Soyka
Walter	Scheunemann		
Eugen	Scheyer		
Emil	Schibli		
Friedrich	Schick		
René	Schickele		
Berthold	Schidlof		
Leo	Schidrowitz		
Anna	Schieber		
Rolf	Schiebold		
Max	Schievelkamp		
Victor	Schiff		
Gerhard	Schiftan		
Georgij	Schilin		
Paul	Schiller		
Paul	Schindler		
Helmut	Schinkel		
Max	Schippel		
Alfred	Schirokauer		
Arno	Schirokauer		
Kristian	Schjelderup		
Michel	Schlagzu		Schlagzu, Michel (Pseud.)
Willi	Schlamm		
Adolf	Schlatter		
Josef Carl	Schlegel		
Ernst	Schlenker		
Maria	Schlenz	So heilt man unheilbar scheinende Krankheiten.	Schlenz
Martin Ludwig	Schlesinger		
Paul	Schlesinger		
Therese	Schlesinger		
Karl Felix von	Schlichtegroll		
Rudolf	Schlichter		
Julius Fedor	Schloegel		
Felix	Schloemp		
R.	Schlotthauer		
Adolf	Schlucks		
Friedrich	Schluenz		
Otto	Schmatolla		
Heinz	Schmeidler		
Arthur	Schmid		
Fred	Schmid		
Heinz	Schmid		
Karl G.	Schmid		
Martin	Schmid		
Werner	Schmid		
Paul	Schmid-Ammann		
Eleonore	Schmidt		
Hans	Schmidt		
Harry	Schmidt		
Heinrich	Schmidt		
Hermann Josef	Schmidt		
Hermann, Dr.	Schmidt		
Karl	Schmidt		
Konrad	Schmidt		
Oskar	Schmidt		
Richard	Schmidt		
Robert Renato	Schmidt		
Wilhelm	Schmidt		
Willy	Schmidt		
Hanna	Schmidt	Hanna	Schmidt, gesch. Kirchner, geb. Stunz
Carl Friedrich	Schmidt-Adebar		
Paul	Schmidt-Amman		
Hilde	Schmidt-Heinze		
Edgar	Schmidt-Pauli		
Johannes	Schmiedchen		
Eugen Heinrich	Schmitt		
Heinrich	Schmitt		
Karl	Schmitt		
Peter	Schmittler		
Alexander	Schmitz		
Karl	Schmitz		
Otto	Schneid		
Albert	Schneider		
Emile	Schneider		
Emilie	Schneider		
Herbert	Schneider		
Josef	Schneider		
Josef Bernhard	Schneider		
Max	Schneider		
Paul Franz	Schneider		
Sascha	Schneider		
Josef Anton	Schneiderfranken		
Rudolf	Schneider-Schelde		
Eugen	Schnell		
Ludwig	Schneller		
Jacobus	Schnellpfeffer		
Arthur	Schnitzler		
Karl	Schnog		
Peter	Schnur		
Heinrich	Schoedler		
Hermann	Schoeler		
Paul Frh. von	Schoenaich		
Alexander	Schoenau		
Alfons	Schoene		
Josef	Schoenheim		
Johannes	Schoenherr		
Hans	Schoenhof	Hans	Schoenhof [Hrsg.]
Paulinus	Schoening		
Bruno	Schoenlank		
Walter	Schoenstedt		
Hans Joachim	Schoeps		
Paul	Scholl		
Michail	Scholochow		
August	Scholtis		
Erich	Scholz		
Hans	Schomburgk		
Ives Eusebius	Schor		
A.	Schotman		
Fritz	Schotthoefer		
August	Schowalter		
Thomas	Schramek		
C. A.	Schramm		
Wilhelm von	Schramm		
Stefan	Schreder		
Andreas	Schreiber		
Albert	Schreiner		
Gerth	Schreiner		
Karl	Schreiner		
Berthold	Schroeder		
Christel Matthias	Schroeder		
Karl	Schroeder		
Walter	Schroeder		
Wilhelmine	Schroeder-Devrient		
Josef	Schroeteler		
Andreas	Schrott		
Walter	Schubart		
Johannes	Schuck		
Lothar Engelbert	Schuecking		
Walter	Schuecking		
Richard	Schueller		
Karl	Schuetky		
Henri	Schuetz		
Paul	Schuetz		
Hermann	Schuetzinger		
Friedrich	Schuh		
Gotthard	Schuh		
Ernst	Schuhmacher		
Paul	Schuhmann		
D.	Schuler		
Johannes	Schult		
Heinrich	Schulte		
Emil	Schulten		
Hermann	Schulte-Vaarting		
Erica von	Schulthess		
Gerhard	Schultze-Pfaelzer		
Ernst	Schulz		
Franz	Schulz		
Fritz	Schulz		
Heinrich	Schulz		
Hugo	Schulz		
Wilhelm	Schulz		
Wilhelm	Schulz		Schulz, Wilhelm, und Karl Welker
Karl	Welker		Schulz, Wilhelm, und Karl Welker
Max Karl Gustav	Schulze		
Harro	Schulze-Boysen		
Henny	Schumacher		
Joachim	Schumacher		
Paul	Schumacher		
Frederick L.	Schuman		
Alfred	Schumann		
Georg	Schumann		
Kurt	Schuschnigg		
Franz	Schuster		Schuster, Franz, u. Franz Scharcherl
Franz	Scharcherl		Schuster, Franz, u. Franz Scharcherl
K. M.	Schuwajew		
Anton	Schwab		
Sepp	Schwab		
Johann	Schwalbach		
Magnus	Schwantje		
Richard	Schwartz		
Engelbrecht	Schwarz		
Fritz	Schwarz		
Hans	Schwarz		
Karl	Schwarz		
Theodor	Schwarz		
Martin	Beheim-Schwarzbach		Schwarzbach, Martin Beheim- s. Beheim-Schwarzbach.
Elisabeth	Schwarzhaupt		
Rudolf	Schwarzkopf		
Karl	Schwarzmann		
Leopold	Schwarzschild		
Eduard	Schwechten		
Robert	Schweichel		
Hellmut von	Schweinitz		
Nikolaj M.	Schwernik		
Franz	Schweyer		
Josef	Schweyer		
Kurt	Schwitters		
Pierre	Scize		
Franz	Scott		
Max	Seber		
Rudolf von	Sebottendorff		
Ernst	Seeger		
Arthur	Seehof		
Paul	Seelhoff		
Ewald Gerhard	Seeliger		
Louis	Segal		
Gerhart	Seger		
Sebastian	Segerer		
Anton Philipp von	Segesser		
Karl	Seher		
Friedrich	Seibert		
August	Seidel		
Robert	Seidel		
Rudolf	Seiden		
Ange	Seidler		
Stella	Seidler		Seidler, Stella, P. Margolis u. E. Ritter
P.	Margolis		Seidler, Stella, P. Margolis u. E. Ritter
E.	Ritter		Seidler, Stella, P. Margolis u. E. Ritter
Oskar	Seidlin		
Oskar	Seidlin		Seidlin, Oskar, Richard Plaut
Richard	Plaut		
Konrad	Seiffert		
Berta	Seiinger		
Ignas	Seinius		
Josef Michael	Seitz		
Robert	Seitz		Seitz, Robert, u. Heinz Zucker
Heinz	Zucker		
Lydia	Sejfullina		
Alexander von	Seldt		
Hans	Seligo		
Cecilija S.	Zelikson-Bobrovskaja	Z.	Selikson-Bobrowskaja
Cecilija S.	Zelikson-Bobrovskaja		Selikson-Bobrowskaja s. Zelikson-Bobrovskaja
Berta	Selinger		
Annemarie	Selinko		
Rudolf	Selke		
Carl	Sellenthin		
Nikolaj A.	Semaschko		
Alfred	Semerau		
Karl	Semmler		
Ramón Julio	Sender		
Toni	Sender		
Paul	Senn		
Oskar	Senski		
Johann	Serbin		
A.	Sergejew		
I.	Sergejew	I.	Sergejew [Sergeev]
Max	Sering		Sering, Max
Felix	Sernau		
Walter	Serner		
A.	Serno-Solowiewitsch		
Petrus	Serrarens		
Hans	Serson		
Robert W.	Seton-Watson		
Karl	Severing		
Max	Seydewitz		
Carlo	Sforza		
Andrej Alekseevič 	Zdanov	A. A.	Shdanow
Andrej Alekseevič 	Zdanov	A.	Shdanow [Ždanov]
Andrej Alekseevič 	Zdanov		Shdanow, A. [dt.Namensform] s. Ždanov
Vincent	Sheean		
George N.	Shuster		
Karl	Siber		
S.	Sidorow		
Max	Sidow		
Hugo	Siebenschein		
Anton	Sieberer		
Friedrich	Sieburg		
Franz	Siefken		
Hans Rudolf	Siegrist		
Anna	Siemsen		
Hans	Siemsen		
Bernhard	Sieper		
Max	Sievers		
Julius C.	Silber		
Martha	Sills-Fuchs		
Ignazio	Silone		
Amadeo	Silva-Tarouca		
Vinzenz	Silva-Tarouca		
Callisto	Simeon		
Adolf	Simon		
F. B.	Simon		
Helene	Simon		
Jacob	Simon		
O. K.	Simon		
Paul	Simon		
Frank Herbert	Simonds		
Upton	Sinclair		
Ernst	Sinding		
Erich	Singer		
Irma	Singer		
Kurt	Singer		
Mirjam	Singer		
Georg	Sinowjew		
Hermann	Sinsheimer		
Hermarm	Sinsheimer		
Hugo	Sinzheimer		
Kurt	Siodmak		
	Sirius	Sirius (Pseud.)	
Hermann	Skolaster		
D. J.	Skomorowski		
Richard	Skowronnek		
Fritz	Slang		
Gustav	Slekow		
Ria	Slekow		
Agnes	Smedley		
Michael	Smilg-Benario		
Nikolai G.	Smirnoff		
Nina	Smirnowa		
Helen Zenna	Smith		
Lady Eleanor	Smith		
Johannes N. J.	Smulders		
Nikolai V.	Snessareff		
Gustav	Sobottka		
Hans	Sochaczewer		
Heinrich	Soffner		
W. N.	Sokolow		
Georg E.	Sokolsky		
Wilhelm	Sollmann		
Fedor	Sologub		
Wladimir	Solowjew		
Watzlav	Solsky		
Wilhelm	Solzbacher		
Bruno	Sommer		
Ernst	Sommer		
Walter	Sommer		
Adolf	Sommerfeld		
Martin	Sommerfeld		
René	Sonderegger		
Hermann	Sondermann		
Emil	Sonnemann		
Martin	Sonnenberg		
Kurt	Sonnenfeld		
Hugo	Sonnenschein		
	Sorin		
Kurt	Sorrel		
Leo S.	Sosnowski		
Augustin	Souchy		
George	Soulié de Morant		
Philippe	Soupault		
St.	Souveur		
Heinrich	Spaan		
Hans	Spahn		
Minna	Specht		
Wilhelm	Speyer		
Franz	Spielhagen		
C	Spindler		
Jakob Richard	Spinner		
Ernst	Spitz		
John L.	Spivak		
Gottlob	Spoerri		
Samuel	Spoerri		
Jacob	Sprey		
Howard	Spring		
Brunold	Springer		
Jenny	Springer		
Max	Springer		
Aleksej G.	Stachanov	Stachanow [Stachanov]	
Eduard	Stadtler		
Georg	Staegemann	Staegemann, Georg	
Ernst	Staehelin		
Johann Heinrich	Staeubli-Lutz		
Georg	Staffelbach		
Herbert	Stahl		
Josif Vissarionovič	Stalin		
Heinrich	Stallmann		
Martin	Stallmann		
Karl	Stamm		
Friedrich	Stampfer		
A.	Stanislawska		
N. A.	Stankoff		
Ernst Rüdiger	Starhemberg		
Ludwig gen. Vigo	Stautz		
Wladimir	Stawski		
Kurt	Stechert		
Wickham	Steed		
Johannes	Steel		
Paul	Stefan		
Paul, Dr.	Stefan		
Priacel	Stefan		
Augustyn	Steffen		
Carl	Stegmann		
Carl	Stegmann	Stegmann und C. Hugo	
C.	Hugo	Stegmann und C. Hugo	
Willy	Steiger		
Hans Wilhelm	Stein		
Walter Johann	Stein		
John	Steinbeck		
A. S.	Steinberg		
Jishaq Nahamān	Steinberg		
Salomon D.	Steinberg		
Salomon David	Steinberg		
N.	Steinberger		
Eugen	Steinemann		
Rudolf	Steiner		
Josef	Steiner-Jullien		
Justin	Steinfeld		
Ferdinand	Steingiesser		
Julius	Steinhardt		
Gustav	Steinhauer		
Hermann	Steinhausen		
Herrmann	Steinhausen		
A.	Steininger		
Hermann	Steinmeyer		
Hans Gustav	Steinthal		
Wilhelm	Stekel		
Georg	Steklow		
Alexander Graf	Stenbock-Fermor		
Gunar Conrad	Stephan		
Fedor	Stepun		
Bernhard	Stern		
Erich	Stern		
Josef Luitpold	Stern		
Maurice Reinhold von	Stern		
Fritz	Sternberg		
Karl	Sternheim		
Ernst	Stettenheimer		
Robert Louis	Stevenson		
A.	Stezki		
Edward	Stilgebauer		
Oskar	Stillich		
Werner	Stocker		
Alice	Stockham		
Alice	Stockham	Stockham, Alice, u. Heinrich Bernhard Fischer	
Heinrich Bernhard	Fischer		
Helene	Stoecker		
Walter	Stoelting		
Josef	Stoiber		
Willy	Stokar		
Alfred Otto	Stolze		
Rudolf	Stolzmann		
Johann	Storch		
Adolf Josef	Storfer		
Wilhelm	Storost		
Leland	Stowe		
Josef	Strachota		
Curt von	Strachwitz		
Hubertus Kraft Graf	Strachwitz		
Heinrich, SVD.	Strake		
August	Stramm		
Charlot	Strasser		
Nadja	Strasser		
Otto	Strasser		
Karl	Stratil		
Oswald	Straub		
Hugo	Strauch		
Bruno	Strauss		
Eberhard	Strauss		
Emil	Strauss		
Liesel	Strauss		
Curt von	Strehla		
Gerdy	Strieber		
Alfred	Striemer		
Paul	Stritter		
Heinrich	Stroebel		
Heinz	Stroh		
Heinrich	Strohm		
Anna Louise	Strong		
Pitt	Strong		
Carola	Struve		
Gustav	Struve	Struve, Gustav, und Gustav Rasch	
Gustav	Rasch	Struve, Gustav, und Gustav Rasch	
August	Stuessi		
Richard	Stumpf		
Hanna	Schmidt	Stunz, Hanna [Mädchenname] s. Schmidt, Hanna	
Walter	Sturm		
Adolf	Sturmthal		
Karl	Sturzenegger		
P.	Stutschka		
Paula	Jacobsen	Suenken, Paula [Mädchenname] s. Jacobsen, Paula	
Wilhelm	Sueskind		
Otto	Suhr		
Werner	Suhr		
G. 	Iversen	Sun Yat Sen	
Peter	Surava		
Hans	Sutter		
Bertha	Suttner		
Jón	Svensson		
Robert	Svoboda		
Eckart von	Sydow		
Herbert von	Sydow		
Erich	Sylvester		
Bela	Szántó		
Berta	Szeps-Zuckerkandl		
Andreas	Szilagyi		
Emil	Szittya		
Wilhelm	Tabor		
Geneviéve	Tabouis		
	Tacitus redivivus		
Fritz	Taenzler		
Theodor	Tagger		
M. J.	Taischin	Taischin, M. J., und F. F. Koslow	
F. F.	Koslow	Taischin, M. J., und F. F. Koslow	
James Edward	Talmage		
	Tan Ping-Schan	Tan Ping Schan	
O.	Tanin	Tanin, O., u. E. Yohann	
E.	Yohann	Tanin, O., u. E. Yohann	
Paul	Tanner		
Alexander	Tarassow-Rodionow		
A.	Tatarowa		
Herbert	Tauber		
Eugen von	Tegen		
G. H.	Teklenburg		
Lidija G. 	Terechova	Terechowa (Terechova), L. G., u. W. S. Erdeli	
W. S.	Erdeli	Terechowa (Terechova), L. G., u. W. S. Erdeli	
N.	Terentjew		
Anton	Tesarek		
Karl	Teschitz		
Elisabeth	Teslin		
Francois de	Tessan		
Ernst	Testis		
Fritz T. H.	Tetens		
Fritz Tete Harens	Tetens		
Edwin Fritz	Tetzner		
Lisa	Tetzner		
P. N.	Teulon		
Josef	Teusch		
Ernst	Thaelmann		
Wilhelm	Thal		
Siegfried	Thalheimer		
Margarete	Neumann	Thalheimer, Margarete [Mädchenname] s. Neumann, Margarete	
Leopold	Thaller		
Arno	Thauss		
Bruno	Theek		
Felix Aaron	Theilhaber		
Curt	Thesing		
Gert H.	Theunissen		
Arthur Otto	Thiele		
Walter	Thiele		
Karl	Thieme		
Karl	Thieme	Karl	Thieme [Pseud.: Michael Müller]
Hans	Thierbach		
Ewald	Thiesbuerger	Ewald	Thiesbuerger u. Heinrich Burhenne
Heinrich	Burhenne	Ewald	Thiesbuerger u. Heinrich Burhenne
Frank	Thiess		
Frank	Thiess		Thiess, Frank
Richard	Thoma		
Adrienne	Thomas		
Alexander	Thomas		
Christa	Thomas		
J.	Thomas		
Josef	Thomé		
Elisabeth	Thommen		
Marie	Thomson		
Maurice	Thorez		
Werner E.	Thormann		
Ernst	Thrasolt		
Paul	Thur		
Eduard	Thurneysen		
Theodor	Tichauer		
Theodor	Tichauer		Tichauer, Theodor, u. Walter Friedländer
Walter	Friedländer		Tichauer, Theodor, u. Walter Friedländer
Hans	Tietze		
Erna	Tillgner		
Erna	Tillgner	Admi E.	Tillgner [d. i. Erna Tillgner]
Klemens	Tilman		Tilman, Klemens, Ludwig Wolker
Ludwig	Wolker		Tilman, Klemens, Ludwig Wolker
Hans	Tischert		
	Titayna		
N.	Tjurin		
Max	Tobler		
Minna	Tobler-Christinger		
Naoshi	Tokunaga		
Ernst	Toller		
Alexej [Nikolaevič]	Tolstoi		
Hans	Tombrock		
Erwin	Topf		
Friedrich	Torberg		
Rolf	Torrings		Torring, Rolf s. Abenteuer, Rolf Torrings. Gruppe II.
Willibald	Torsten		
Tihamér	Toth		
Heinz	Tovote		
Alfred	Traber		
Heinrich	Traenker		
Irmgard	Tralow		
Friedrich	Tramer		
Korang	Trang		
Maxim	Trapp		
Reinhold	Trautmann		
Bruno	Traven		
Robert de	Traz		
Geoffrey	Trease		
Siegfried	Trebitsch		
Hermann	Trefzger		
Hans	Treplin		
Josef	Tress		
Robert	Tressal		
Sergej Michajlovič	Tretjakow		
Walter	Tritsch		
J. J.	Troizki		
Irma v.	Troll-Borostyani		
Leo	Trotzki		
Franz	Trubert		
Sergej	Tschachotin		
E. K. 	Čaplina		Tschaplina (Čaplina), H. (E.) K., u. E. G. Riesel
E. G.	Riesel		Tschaplina (Čaplina), H. (E.) K., u. E. G. Riesel
E. K. 	Čaplina		Tschaplina, H. K. [dt. Namensform] s. Čaplina, E. K.
Georg	Tscharmann		
W.	Tschemodanow		
Lin	Tschen		
A.	Tscherewanin		
Dmitrij	Tschetwerikow		
G. V.	Tschitscherin		
Valerij Pawlowitsch	Tschkalow		
Kornej	Tschukowski		
Michael F.	Tschumandrin		
Karl	Tschuppik		
M. N.	Tuchatschewski		
Kurt	Tucholski		
Otto Tetjus	Tuegel		
Werner	Tuerk		
Ludwig	Tureck		
Adrien	Turel		
Leon G.	Turrou		
Stanislaw	Tync		Tync, Stanislaw, Josef Golabek u. J. Duszynska
Josef	Golabek		Tync, Stanislaw, Josef Golabek u. J. Duszynska
J.	Duszynska		Tync, Stanislaw, Josef Golabek u. J. Duszynska
Jurij N.	Tynjanow		
Karl	Tyszka		
Johannes	Ude		
Otto	Uebel		
Robert Alfred	Ufer		
Wilhelm	Uhde		
Benedikt	Uhlemayr		
Bodo	Uhse		
Alexander	Ular		
Hanna	Ulbrich		
Martin	Ulbrich		
Walter	Ulbricht		
Hermann	Ulimann		
Arnold	Ulitz		
Konstantin	Umanskij		
Otto	Umfrid		
Sigrid	Undset		
Hermann	Ungar		
Wilhelm	Unger		
Richard	Ungewitter		
Bernd	Unglaub		
Zbigniew	Unilowski		
Friedrich Franz	Unruh		
Fritz von	Unruh		
M. M.	Scheinmann		Unter Red. v. M. M. Scheinmann
Franz Xaver	Unterlechner		
Ernst	Untermann		
	Unus		Unus (Pseud)
Hugo	Urbahns		
Milo	Urban		
Grete von	Urbanitzky		
Rudolf	Urbantschitsch		
Carl	Loosli-Usteri		Usteri, Carl Loosli- s. Loosli-Usteri.
Emil	Utitz		
Octave	Uzanne		
Adolf	Uzarski		
Alfred	Vagts		
Alfred Hermann Friedrich	Vagts		
Julius	Vahlteich		
Arnold	Vahsen		
Paul	Vaillant-Couturier		
Emanuel	Vajtauer		
Mary	Val		
Paul	Valayer		
Pierre	Valdagne		
Veit	Valentin		
Astor	Vanderbilt		
Emile	Vandervelde		
Karl	Vanek		
Karl	Vanselow		
Philipp de	Vard		
Eugen	Varga		
José Maria	Vargas Vila		
Vladimir	Vašek		
C. F.	Vaucher		
Clement	Vautel		
Jaroslav	Vavra		
Theodor	Veiter		
Theodor Hendrik van de	Velde		
	Veras		Veras (Pseud.)
Jean	Verdier		
	Veridicus <Pater>		Veridicus
Iwan	Bloch		Veriphantor
Edmond	Vermeil		
N. E.	Verow		
Marcel	Vèrtes		
Johannes Maria	Verweyen		
Max	Verworn		
J. A.	Vesters		
Hans	Feddersen		Vetter, Louis [d. i. Hans Feddersen]
Hans	Feddersen		Vetter, Louis [Pseud.] s. Feddersen, Hans.
Walter	Victor		
Rudolf	Viehweg		
Willy	Vierath		
Georg Sylvester	Viereck		Viereck, Georg Sylvester, u. P. Eldridge
P.	Eldridge		Viereck, Georg Sylvester, u. P. Eldridge
	Vigilant		
Benno	Vigny		
S.	Viktorow		Viktorow, S., u. N. Chalchin
N.	Chalchin		Viktorow, S., u. N. Chalchin
Marcel	Villard		
Auguste de	Villiers de l'Isle-Adam		
Eugen	Villiod		
Jean de	Virgans		
Wilhelm	Vischer		
Felix A.	Vitali		
Herbert	Vivian		
C. J. van	Vliet		
	Vlitzliputzli		Vlitzliputzli (Pseud.)
Adolf	Voegeli		
Erich	Voegelin		
Hans	Voelkl		
Albert M.	Voellmecke		
Bruno	Vogel		
Heinrich	Vogel		
Johann	Vogel		
Traugott	Vogel		
Heinrich	Vogeler		
Karl	Vogl		
M.	Vogler		
Karl	Vogt		
Karl Anton	Vogt		
Otto	Vogt		
Karl	Voigt		
Friedrich Adolf	Voigt		Voigt, Friedrich Adolf, u. Margaret Goldsmith
Margaret	Goldsmith		Voigt, Friedrich Adolf, u. Margaret Goldsmith
Bruno	Volger		
Bruno	Volger		Volger, Bruno
Otto	Volkart		
Rolf	Volker		
Ulrich	Volkmann		
Georg	Volkmann		Volkmann, Georg
Stephan	Vollert		
Assumpta	Volpert		
Otto	Strasser		Von D. G.
Karl	Vorlaender		
Fritz	Vorspel		
Th.	Vortmann		
Heinrich	Mann		Vorw. v. Heinr. Mann
Johann	Koplenig		Vorw. v. Johann Koplenig
Romain	Rolland		Vorw. v. Romain Rolland
Theun de	Vries		
John Frederic	Vuilleumier		
Z. H.	Wachsman		
Karl	Wachtelborn		
Franz	Wachter		
Wilhelm	Wachter		
Michael	Waechter		
Are	Waerland		
Ernst	Wagemann		
Otto	Wagener		
Paul	Wagler		
Hans	Wagner		
Helmut	Wagner		
J.	Wagner		
Luise	Wagner		
Richard	Wagner		
Konrad	Wahrmund		
	Wahrmund		
Viktor	Waksow		
Dietliebe	Walbold		
Jakob	Walcher		
E.	Wald		Wald, E. (Pseud.)
Herwarth	Walden		
Juanita v.	Waldingau		
Louis	Walinsky		
Julius	Braun		Wallen B. v. [d. i. Julius Braun]
Julius	Braun		Wallen, B. v. [Pseud.] s. Braun, Julius
Koloman	Wallisch		
Henri	Wallon		
Henri	Wallon	Henri	Wallon [Mitarb.]
Henri	Wallon	Henri	Wallon [u. a.]
Nora	Waln		
Bruno	Walter		
Emil J.	Walter		
Friedrich	Walter		
Fritz Anton	Walter		
Georg	Walter		
Schuecking	Walter		
	Walter		
Adolphe	Walthier		
Max	Waltz		
Clemens von	Walzel		
Hugo	Walzthaenig		
Hermann	Wanderscheck		
Heinrich	Wandt		
Felix Leopold	Wangen		
Gustav von	Wangenheim		
Martin	Wangenheim		
Georg	Wanke		
Melchior	Wańkowicz		
Fritz	Warburg		
Iwan	Wardin		
Ernst	Warlitz		
J. S.	Warnorff		
Wilhelm	Warschatka		
Franz	Warschauer		
A.	Warski		
Lya	Wartberg		
Jan	Waśniewski		
Jakob	Wassermann		
J. W.	Wassilewski		
Aleksei T.	Wassiljew		
B.	Wassiljew		
Zoë	Wassilko-Serecki		
Stanislaus	Wasylewski		
Olga	Watkins		
Helene von	Watter		
Emil	Waxweiler		
Alexander Otto	Weber		
Andreas Paul	Weber		
Hermann	Weber		
H.	Weber		Weber u. C. Wel
C.	Wel		Weber u. C. Wel
H.	Weber		Weber, H., u. C. Wel
C.	Wel		Weber, H., u. C. Wel
Irnfried von	Wechmar		
Fritz	Wecker		
Eduard	Weckerle		
Hans von	Wedderkop		
Rudolf	Wedemeyer		
Armin Theophil	Wegner		
Hans	Wehberg		
Gerhard F.	Wehle		
Ewald	Weichsel		
Wladimir	Weidle		
Karel	Weigner		
Franz Ritter	Weihs-Tihanyi von Mainprugg		
Bruno	Weil		
Robert	Weil		
Franz	Weiller		
G. D.	Weinberg		
Hans	Weinberg		
Erich	Weinert		
Felix	Weingartner		
Karl	Weinlaender		
Anna Maria	Weinlein		
Franz Johannes	Weinreich		
Anna Elisabeth	Weirauch		
Günter	Weisenborn		
Paul	Weisengruen		
Franz Karl	Weiskopf		
Grete	Weiskopf		
Leo	Weismantel		
Bernhard	Weiss		
Ernst	Weiss		
Friedrich	Weiss		
Franz	Weissin		
Robert	Weissmann		
Ludwig	Weithaler		Weithaler, Ludwig, und Hans Eisenstecken
Hans	Eisenstecken		Weithaler, Ludwig, und Hans Eisenstecken
Wilhelm	Weitling		
Eduard	Weitsch		
Eduard	Weitsch	Eduard	Weitsch u. Heiner Lotze
Heiner	Lotze	Eduard	Weitsch u. Heiner Lotze
August	Weitzel		
Willy	Proeger		Weka (Pseud.) s. Proeger, Willy. Wel, C.
C.	Wel		
Lena	Osswald		Wellinghusen
Herbert George	Wells		
C. Hermann Paul	Wels		
Otto	Wels		
Felix	Weltsch		
Joachim	Welzl		
Martin	Wenck		
Friedrich	Wendel		
Hermann	Wendel		
Otto Bernhard	Wendler		
Stefan	Wendt		
Lisa	Wenger		
Edmund	Wengraf		
Dora	Wentscher		
Fritz	Wenzel		
W.	Weressajew		
Franz	Werfel		
Henrik	Wergeland		
Carl Georg Ludwig	Wermuth		Wermuth-Stieber
Wilhelm	Stieber		Wermuth-Stieber
