Pieck, Wilhelm	http://d-nb.info/gnd/118594273
Forel, August	http://d-nb.info/gnd/118534327
Rauth, Otto	http://d-nb.info/gnd/1035122189
Heckert, Fritz	http://d-nb.info/gnd/11885545X, http://d-nb.info/gnd/1025142144
Danneberg, Robert	http://d-nb.info/gnd/118523643
Heydenau, Friedrich	http://d-nb.info/gnd/105811440
Grossmann, Stephan	http://d-nb.info/gnd/118542664
Breitbach, Josef	http://d-nb.info/gnd/118514865
Feddersen, Hans	
Landsberg, Paul Ludwig	http://d-nb.info/gnd/11856918X
Zenker, Ernst Viktor	http://d-nb.info/gnd/116979798
Dehmel, Richard	http://d-nb.info/gnd/118679236, http://d-nb.info/gnd/1034714317, http://d-nb.info/gnd/1037765877
Grob, Rudolf	http://d-nb.info/gnd/173334431
Malmberg, Bertil	http://d-nb.info/gnd/118730460, http://d-nb.info/gnd/132724162
Wilson, Edwina H.	http://d-nb.info/gnd/127330569, http://d-nb.info/gnd/173169252
Maurer, Adolf	http://d-nb.info/gnd/11873203X
Wolf, Julius	http://d-nb.info/gnd/117445029, http://d-nb.info/gnd/118088602, http://d-nb.info/gnd/118770004, http://d-nb.info/gnd/1018255788
Heinz, Karl	http://d-nb.info/gnd/104762772, http://d-nb.info/gnd/11854862X, http://d-nb.info/gnd/130222380, http://d-nb.info/gnd/133266141, http://d-nb.info/gnd/140418504, http://d-nb.info/gnd/1034286838, http://d-nb.info/gnd/1036674436
Friedlaender, Salomo	http://d-nb.info/gnd/118586076
Kratzel, Robert	http://d-nb.info/gnd/126525161
Kahn, Ernst	http://d-nb.info/gnd/117575933, http://d-nb.info/gnd/1027285198
Georg, Manfred	http://d-nb.info/gnd/121978281
Winfried, Heinrich	http://d-nb.info/gnd/126412286
Laros, Matthias	http://d-nb.info/gnd/119418266
Wolf, Erich Hans	http://d-nb.info/gnd/127351663
Wygodzinski, Willi	http://d-nb.info/gnd/117348171
Heine, Thomas Theodor	http://d-nb.info/gnd/118548034
Pudor, Heinrich	http://d-nb.info/gnd/11630734X
Wilke, Werner	http://d-nb.info/gnd/117384003
Hanussen, Erik Jan	http://d-nb.info/gnd/118545876
Deutsch, Otto	http://d-nb.info/gnd/116087951
Schulz, Wilhelm	http://d-nb.info/gnd/11725620X, http://d-nb.info/gnd/117670871, http://d-nb.info/gnd/118611496, http://d-nb.info/gnd/118762532, http://d-nb.info/gnd/119149451, http://d-nb.info/gnd/120268590, http://d-nb.info/gnd/130076694, http://d-nb.info/gnd/130884561, http://d-nb.info/gnd/131764330, http://d-nb.info/gnd/135273706, http://d-nb.info/gnd/135969115, http://d-nb.info/gnd/13931217X, http://d-nb.info/gnd/139546634, http://d-nb.info/gnd/140644334, http://d-nb.info/gnd/143158449, http://d-nb.info/gnd/101698653X, http://d-nb.info/gnd/1016986750, http://d-nb.info/gnd/1016989431, http://d-nb.info/gnd/1019312823, http://d-nb.info/gnd/1029344485, http://d-nb.info/gnd/1035016664, http://d-nb.info/gnd/103765207X, http://d-nb.info/gnd/1043845984, http://d-nb.info/gnd/1047251043
Drews, Arthur	http://d-nb.info/gnd/116219351, http://d-nb.info/gnd/133998452
